Date,Open,High,Low,Close,Adj Close,Volume
02/02/2022,28646.75391,28717.69531,27137.35938,27243.88281,27243.88281,14122316638
03/02/2022,27237.85352,27323.56641,26843.50977,27323.56641,27323.56641,13672251852
04/02/2022,27319.64258,30691.81641,27269.90039,30655.53516,30655.53516,21725976570
05/02/2022,30655.98242,30911.32813,30313.69141,30611.42773,30611.42773,14517007219
06/02/2022,30611.39648,31404.00195,30466.45898,31340.07422,31340.07422,11927976836
07/02/2022,31335.89648,32805.82813,30853.68164,32385.16992,32385.16992,21157968108
08/02/2022,32395.7832,33506.32031,31597.61914,32566.60547,32566.60547,24417988307
09/02/2022,32550.55664,33048.74609,31882.15234,32764.55273,32764.55273,17177757633
10/02/2022,32771.20703,33494.75391,32068.85938,32153.23047,32153.23047,23722438923
11/02/2022,32157.67188,32278.11133,31034.33008,31250.53711,31250.53711,19863165673
12/02/2022,31253.75195,31686.28516,30859.03125,31147.98828,31147.98828,13384247486
13/02/2022,31142.16016,31478.74023,30931.5625,31098.59766,31098.59766,10864212047
14/02/2022,31069.0332,31648.34375,30749.69531,31470.83984,31470.83984,15391294262
15/02/2022,31470.50391,32987.23047,31393.4375,32920.75,32920.75,16780944962
16/02/2022,32923.01953,32923.01953,32007.93945,32369.29297,32369.29297,14573332010
17/02/2022,32351.04102,32490.21094,29558.25391,29775.08984,29775.08984,19278121343
18/02/2022,29785.46094,30038.35547,29201.46875,29447.10547,29447.10547,17147028147
19/02/2022,29443.46289,29732.45117,29213.24414,29514.17773,29514.17773,10104721856
20/02/2022,29511.19531,29512.51172,28036.0918,28276.23242,28276.23242,13494244190
21/02/2022,28270.22266,28916.5,27169.46289,27271.01758,27271.01758,21537434521
22/02/2022,27266.23047,28226.63867,26857.75195,28175.37695,28175.37695,18760868293
23/02/2022,28174.82813,28781.05469,27469.89453,27535.23828,27535.23828,16130690539
24/02/2022,27521.94531,29088.64258,25537.34766,28667.1582,28667.1582,34688265546
